CodigoInterno,NombreInvima,DescripcionComercial,CodigoInvima,Cum
C905123,BILAXTEN® 2.5 MG/ML SOLUCIÓN ORAL,1B1037281000100 CAJA DE CARTON CON FRASCO DE VIDRIO AMBAR TIPO III SELLADO CON TAPON ROSCA DE ALUMINIO BLANCA CON SISTEMA DE CIERRE A PRUEBA DE MANIPULACIONES Y DISCO INTERNO DE POLIETILENO DE BAJA DENSIDAD. INCLUYE VASO DOSIFICADOR X 15 ML GRADUADO A 4 ML TRASLUCIDO EN POLIPROPILENO X 120 ML.,INVIMA 2021M-0020315,20168881-1
C695277,CALYMAG SUSPENSION,2A1003521006100 ALUMINIO HIDROXIDO 4000.0000 MG/MAGNESIO HIDROXIDO 4000.0000 MG/SIMETICONA 400.0000 MG SUSPENSION ORAL (CALYMAG) FRASCO 360.0000 ML / FRASCO X 1 (NA) (FRASCO BLANCO DE POLIETILENO DE ALTA DENSIDAD POR 360 ML),INVIMA 2021M-011213-R3,35597-1
C02317,EPOYET 2000,CAJA CON 1 VIAL EN VIDRIO TIPO I CON POLVO LIOFILIZADO. JERINGA PRELLENADA CON 2 ML DE DILUYENTE. 2 AGUJAS DESCARTABLES.,INVIMA 2020M-006891-R2,55554-5
C670533,ONUREG® 300 MG,CAJA X 7 TABLETAS RECUBIERTAS DE 300 MG EN BLISTER ALUMINIO (PA/PVC/ALUMINIO)/ALUMINIO,INVIMA 2024M-0021448,20231399-1
C670120,COLMIBE 20 COMPRIMIDOS,CAJA X 3SIN DATOBLISTER ALUMINIO/ALUMINIO XSIN DATO10 TABLETAS,INVIMA 2023M-0008874-R1,19993410-9
C444522,ESMYA® 5 MG COMPRIMIDOS,USO INSTITUCIONAL: CAJA POR 28 TABLETAS. 2 BLISTER PVC/PE/PVDC-AL TRANSPARENTE ANARANJADO POR 14 TABLETAS C/U.,INVIMA 2023M-0016779-R1,20074631-6
C06168,TIOCOLSID 4 MGTABLETAS,BLISTER DE PVDC TRANSPARENTE / ALUMINIO POR 10 TABLETAS. EN CAJA POR 20 TABLETAS,INVIMA 2021M-0008887-R1,19990096-2
C02318,EPOYET 4000,CAJA CON 5 BLISTER PVC INCOLORO CON 5 VIALES EN VIDRIO TIPO I. TAPON DE BROMOBUTILO Y CIERRE FLIP-OFF (ALUMINIO PLASTICO) CON POLVO LIOFILIZADO,INVIMA 2020M-006137-R2,55553-15
C149805,LENVIMA® 10 MG,1L1022271000100 CAJA POR 30 CÁPSULAS EN BLÍSTER ALU/ALU DE 10 CÁPSULAS CADA UNO. LENVATINIB 4.0000 MG CAPSULAS DE LIBERACION NO MODIFICADA ORAL (LENVIMA) CAPSULA 1.0000U / CAJA X 30,INVIMA 2021M-0020573,20149117-1
C295136,VONAU FLASH® 8 MG TABLETA DE DESINTEGRACION ORAL,CAJA PLEGADIZA CON TIRA EN ALUMINIO/ALUMINIO POR 10 TABLETAS (IUM 1O1029481001100),INVIMA 2020M-0019620,20146534-1
C275342,CLAVULIN® TABLETAS 1G,CAJA PLEGADIZA CON 14 TABLETAS RECUBIERTAS EN DOS BLÍSTER PVD/PVDC-ALUMINIO POR 7 TABLETAS CADA UNO. DENTRO DE UNA BOLSA DE ALUMINIO DESECADA Y CON SELLO DE SEGURIDAD EN LA CAJA.,INVIMA2020M-006616-R2,209244-5
C043519,ZIDRONIC® INYECTABLE,CAJA X 1 VIAL (DE VIDRIO TRANSPARENTE TIPO I) X 5 ML,INVIMA 2017M-0004692-R1,19952873-1
C021191,DESALEX TABLETAS.,CAJA POR 10 TABLETAS RECUBIERTASSIN DATOEN BLISTER ACLAR/PVC/ALUMINIO.,INVIMA 2020M-0000720-R2,19922943-2
C9990805,GOUTEX 80 MG,CAJA PLEGADIZA CON 3 BLISTER INDIVIDUAL TIPO FOIL EN ALUMINIO / ALUMINIO POR 5 CAPSULAS BLANDAS C/U.,INVIMA 2020M-0013920-R1,20053123-1
C275625,SEROXAT® CR 12.5 MG,CAJA X 10 TABLETAS EN BLISTER PVC/ALUMINIO X 10 TABLETAS.,INVIMA 2014M-0002703-R1,19938740-2
C376251,ROSUVAX ®E 10 MGTABLETA RECUBIERTA,CAJA PLEGADIZA POR 30 TABLETAS RECUBIERTAS EN BLÍSTER DE PVDC BLANCO / ALUMINIO,INVIMA 2022M-0013655-R1,20037936-12
C200299,EFFIENT® 10 MG,CAJA POR 28 COMPRIMIDOS RECUBIERTOS EN BLISTER DE ALUMINIO DE FORMADO (CFF),INVIMA 2022M-0010321-R1,20006437-1
585080,BACTRIM® F SUSPENSION 400/80MG,FRASCO POR 100 ML,INVIMA 2021M-006884-R4,54532-3
C068986,VAXDIL® TABLETAS 10MG,CAJA DE CARTON POR 30 TABLETAS EN BLISTER DE ALUMINIO PVC AMBAR POR 10 TABLETAS CADA UNO,INVIMA 2023M-0004339-R2,19948594-1
C9990675,NUVARING®ANILLO VAGINAL,CAJA POR UN SOBRE CON UN ANILLO VAGINAL,INVIMA 2008M-0008375,19987333-1
458390,TRESIBA® 100 U/ML,CAJA POR 1 PLUMA PRELLENADA DESECHABLE QUE INCLUYE UN CARTUCHO DE VIDRIO TIPO I. CON EMBOLO (BROMOBUTILO) Y TAPON (BROMOBUTILO/POLIISOPRENO),INVIMA 2023MBT-0015102-R1,20059262-2
460005,ESOMED 40 MGCAPSULAS,CAJA POR 28 CAPSULAS EN BLISTER PVC AMBAR/ALUMINIO EN SOBRE POUCH CON SILICA DESECANTE,INVIMA 2023M-0012599-R2,20030114-6
C061999,ADRENOLYT®4% SOLUCIÓN ORAL,L1011811001100: LEVOMEPROMAZINA 40.0000 MG OTRAS SOLUCIONES ORAL (ADRENOLYT) FRASCO 20.0000ML / CAJA X 1. (CAJA QUE CONTIENE UN FRASCO DE VIDRIO ÁMBAR TIPO III X 20 ML CON TAPA BLANCA ENSIN DATOPP X 18 MM CON ANILLO DE SEGURIDAD EN PEBD E INSERTO. GOTERO DOSIFICADOR EN PEBD BLANCO X 18 MM),INVIMA 2022M-0020814,20220614-1
C190822,FENOVAS®20 MG,PRESENTACIÓN INSTITUCIONAL: CAJA POR 30 CÁPSULAS BLANDAS DE GELATINA CON FORMA DE DOSIFICACIÓN UNIGEL EN EMPAQUE INDIVIDUAL TIPO BLÍSTER STAR FLEX TRANSPARENTE / ALUMINIO POR 10 CÁPSULAS CADA UNO.,INVIMA 2022M-0017377-R1,20109639-5
C345807,PIRIDOSTIGMINA 60 MGTABLETAS,20 TABLETAS EN FRASCO DE VIDRIO ÁMBAR. TAPA PLÁSTICA EN PEBD,INVIMA 2019M-0009798-R1,19999057-1
425059,CANCIDAS® 50 MG,CAJA X 1 FRASCO VIAL DE VIDRIO CON LIOFILIZADO . FRASCO INCOLORO TIPO I DE 10 ML . TAPON DE LIOFILIZACION DE BUTILO GRIS. SELLO DE,INVIMA 2019M-0001002-R2,19926495-1
C2156143,COSAMIDE®150 MG TABLETA RECUBIERTA,IUM 1L1012311008104: LACOSAMIDA 150.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (COSAMIDE) TABLETA 1.0000U / CAJA X 30. CAJA POR 3 BLÍSTER ALUMINIO/PVC-PVDC POR 10 TABLETAS RECUBIERTAS C/U.,INVIMA 2022M-0017478-R1,20109074-6
C585086,ACTEMRA® CONCENTRADO PARA INFUSION 80 MG/4ML,CAJA POR 1 VIAL DE VIDRIO INCOLORO NEUTRO TIPO I. CON TAPÓN DE GOMA Y CAPSULA DE ALUMINIO CON DISCO DE PLASTICO FLIP-OFF.,INVIMA 2021MBT-0009524-R1,20002629-1
C209580,FIXAMICIN CLEAN ® 6.5 %,CAJA PLEGADIZA CON 1 FRASCO GOTERO PEBD BLANCOSIN DATOMAS SUBTAPA CAPILAR EN PEBD Y TAPA DE SEGURIDAD GOTERO EL PP POR 15 ML .,INVIMA 2022M-0017918-R1,20108682-1
C525475,INFLAXEN 100 MG,CAJA POR 3SIN DATOCÁPSULAS BLANDAS DE GELATINA EN EMPAQUE INDIVIDUAL TIPO BLISTER ALUMINIO/ALUMINIO POR 3 CÁPSULAS BLANDAS.,INVIMA 2017M-0005987-R1,19963299-1
C067201,NEUBALIN® 25 MG CÁPSULAS,CAJA POR 30 CÁPSULAS DURAS EN 3 BLÍSTER ALU/PVCSIN DATOPOR 10 CÁPSULAS DURAS CADA UNO.,INVIMA 2016M-0017533,20094117-1
C06887,MIGRAGESIN(R) 8% GOTAS,FRASCO DE VIDRIO AMBAR TIPO IIII CON TAPA Y GOTERO DOSIFICADOR EN POLIPROPILENO (PP) EN CAJA PLEGADIZA POR 10 ML,INVIMA 2008 M-011156 R1,54856-5
C430171,TIROSTAT 50,CAJA POR 100 TABLETAS EN BLISTER ALUMINIO/PVC AMBAR,INVIMA 2016M-002874-R2,30968-1
C630066,BETAZOL ®LOCION,CAJA PLEGADIZA CON FRASCO PEBD POR 60 ML.,INVIMA 2021M-0005533-R2,19960307-1
C10892,VITAMINA C GOTAS 100MG/ML,ENVASE CILINDRICO PLASTICO EN POLIETILENO TEREFTALATO (PET) COLOR BLANCO. CON SUBTAPA EN POLIETILENO DE BAJA DENSIDAD (PEBD) COLOR NATURAL Y TAPA PET COLOR ROJO X 30ML.,INVIMA 2020M-007156-R3,21740-3
C180002,BACTRODERM ®ESPUMA,GARRAFA PLÁSTICASIN DATO X 3500 MLSIN DATOEN PEAD CON TAPA ENSIN DATOPOLIPROPILENO,INVIMA 2008 M-010324-R2,32662-10
C02116,DEPOTRIM® INYECTABLE,CAJA CON 24 AMPOLLAS DE VIDRIO INCOLORO TIPO I POR 3ML. EN BLÍSTER DE PVC INCOLORO/ALUMINIO Y CON JERINGA DESECHABLE DE 3ML,INVIMA 2018M-0009075-R1,19997397-5
C985631,LOSARTAN POTASICO50 MG TABLETAS,INSTITUCIONAL CAJA POR 300 TABLETAS. EN BLISTER FOIL ALUMINIO / PVC TRANSPARENTE. 30 BLISTER POR 10 TABLETAS. (IUM 1L1011091001103),INVIMA 2023M-0018181-R1,20123645-10
C068902,MOXIFLOXACINO 400 MG TABLETAS RECUBIERTAS,CAJA POR 7 TABLETAS RECUBIERTAS EN UN BLISTER PVC / PVDC TRANSPARENTE DÚPLEX / ALUMINIO POR 7 TABLETAS RECUBIERTAS CADA UNO.,INVIMA 2021M-0016645-R1,20089685-3
C018285,NAFAZOL SOLUCION NASAL,FRASCO PLÁSTICO SERIGRAFIADO. SUBTAPA GOTERO Y TAPA BLANCA CON ANILLO DE SEGURIDAD POR QUINCE (15) ML,INVIMA 2014M-0003660 R-1,19947581-1
C530988,MYECORT®,ID1032861000103 CAJA PLEGADIZA X 1 FRASCO PET BLANCO X 120 ML + COPA DOSIFICADORA X 15 ML SIN COLOR EN PP.,INVIMA 2021M-0020006,20179118-1
C525570,NYTAX CAPSULA BLANDA,CAJA POR 6 CÁPSULAS EN BLISTER PVC TRANSPARENTE / ALUMINIO POR 6 CÁPSULAS BLANDAS DE GELATINA.,INVIMA 2020M-0003216-R2,19943936-6
C01787,CLOPIDOGREL 75 MG,CAJA POR 28 TABLETAS CON 4 BLISTER ALU/ALU MÁS PAPEL ALUMINIO EN CAJA DE CARTÓN POR 7 TABLETAS CADA UNO.,INVIMA 2016M-0005364-R1,19959943-4
C02114,DEFLAZACORT6 MG. COMPRIMIDOS,BLISTER DE PVC/ALUMINIO POR 10 TABLETAS . EN CAJA POR 10 TABLETAS,INVIMA 2019M-0002291-R2,19935160-1
C700347,STYMA 50 MG,CAJA PLEGADIZA POR 28 TABLETAS DE LIBERACION PROLONGADA EN BLISTER PVC/ACLAR ALUMINIO,INVIMA 2015M-0015844,20084420-13
C659062,ATTENTHO® 40 MG CAPSULAS,CAJA X 30 CAPSULAS EN BLISTER ALUMINIO/ PVC INCOLORO,INVIMA 2016M-0011312-R1,20015394-6
C999079,ACID-NESS LOCIÓN,FRASCO PEAD CON TAPA DE PP POR 120 ML.,INVIMA 2022M-0003534-R2,19942584-4
C290501,FARMA D 1000 UI CAPSULAS BLANDAS DE GELATINA,FRASCO EN PEAD BLANCOSIN DATOPOR 50 CAPSULAS,INVIMA 2017M-0012231-R1,20027119-5
C700056,ALERFAST 180 MG,USO INSTITUCIONAL: CAJA PLEGADIZA POR 10 TABLETAS EN BLISTER PVC/PVDC-ALUMINIO POR 5 TABLETAS.,INVIMA 2022M-0015836-R1,20081076-17
C471310,FERROQUEL,CAJA POR 30 AMPOLLA DE VIDRIO ÁMBAR POR 5 ML CADA UNA,INVIMA 2018M-0018529,20120320-6
C695082,BENZIRIN® FORTE 0.3% SOLUCIÓN BUCAL,FRASCO PET VERDE TRASLÚCIDO POR 120 ML DE SOLUCIÓN BUCAL. CON VÁLVULA SPRAY DE PP BLANCO Y SOBRETAPA DE PS CRISTAL O PP NATURAL. CUBIERTO CON TERMOENCOGIDO DE PVC TRANSPARENTE.,INVIMA 2023M-0006145-R2,19962766-1
C180021,ATLETIC´S GEL,IUM 1D1003681008104 TUBO COLAPSIBLE DE ALUMINIO/POLIETILENO COLOR BLANCO CON TAPA AMARILLA EN POLIPROPILENO (PP) Y LINNER DE SEGURIDAD POR 30 GRAMOS.,INVIMA 2020M-0019617,20155046-6
C050023,CICLOPENTOLATO CLORHIDRATO 1%,CAJA PLEGADIZA CON UN FRASCO GOTEROSIN DATOPOR 10 ML EN PEBD. TAPA DE PP BLANCO Y SUBTAPA DE ALATHON COLOR NATURAL.,INVIMA 2016M-014833-R1,37468-1
C265582,ATORVASTATINA 20 MG TABLETAS RECUBIERTAS,USO INSTITUCIONAL: CAJA POR 1000 TABLETAS RECUBIERTAS EN BLÍSTER PVC/PVDC TRANSPARENTE / ALUMINIO IMPRESO BLANCO POR 10 TABLETAS RECUBIERTAS CADA UNO.SIN DATO,INVIMA 2022M-0005892-R2,19963352-15
50014,CLORURO DE SODIO AL 0.9%,BOLSA DE PLÁSTICO PVC (GRADO MÉDICO) CON SOBRE BOLSA DE POLIETILENO DE ALTA DENSIDAD PEAD EN LOS VOLÚMENES DE 250 ML,INVIMA 2020M-001117-R4,29523-4
C9990549,ACETATO DE ALUMINIO 0.059% PH 4.5 LOCION,FRASCO PET BLANCO POR 120 ML. CON TAPA EN POLIPROPILENO BLANCA. SUBTAPA DE COLOR BLANCO EN POLIETILENO DE BAJA DENSIDAD,INVIMA 2023M-0006250-R2,19963351-1
C125745,SUGANON®,CAJA PLEGADIZA CON 3 BLISTER EN ALUMINIO + OPA - ALU -PVC POR 10 TABLETAS RECUBIERTAS.,INVIMA 2023M-0020876,20188468-1
C215008,BRONCOTIMOD ® SOLUCION,FRASCO PET AMBAR X 120 ML EN CAJA DE CARTON CON JERINGA DOSIFICADORA,INVIMA 2022M-0016467-R1,20093444-1
C265215,BETAMETASONA INYECTABLE X 8 MG/ 2 ML,CAJA POR 10 AMPOLLAS DE VIDRIO TRANSPARENTE TIPO I CON ARO DE COLOR NEGRO.,INVIMA 2021M-0003519-R2,19946107-5
C700135,CEFALEXINA 500 MG CÁPSULAS,CAJA PLEGADIZA POR 10 CAPSULAS EN BLISTER ALUMINIO/PVC-PVDC.,INVIMA 2022M-000948-R4,1984797-6
C023226,ENBREL® 25 MG SOLUCION PARA INYECCION,CAJA PLEGABLE DE CARTÓN CON 1 BANDEJA PLÁSTICA CONTENIDO CON 4 JERINGAS PRELLENADA DE VIDRIO TIPO I CON AGUJA DE ACERO INOXIDABLE INTEGRADASIN DATOY 1 TORUNDA DE ALCOHOL,INVIMA 2018MBT-0007384-R1,19978839-7
C700262,FLUNARIZINA5 MG,CAJA POR 30 CAPSULAS DURAS EN BLISTER PVC/ALUMINIO. POR 10 CÁPSULAS CADA BLISTER. POR 10 CÁPSULAS CADA UNO,INVIMA 2022M-002015-R3,45084-1
C060819,DEXLANZOPRAL® 30,CAJA DE CARTULINASIN DATOPOR 30 CAPSULAS EN BLISTERSIN DATOALU-ALU CON DESECANTE,INVIMA 2023M-0016331-R1,20079140-10
7611001,GENTACREM (R) CREMA TOPICA,TUBO COLAPSIBLE DE ALUMINIO. CON TAPA DE POLIETILENO POR 40 G. EN CAJA,INVIMA 2009M-0009924,19993003-2
C430056,IRBIGEN-H® 300/25 MG TABLETAS RECUBIERTAS,2H1026371000100 CAJA PLEGADIZA X 3 BLÍSTER EN PVC/PVDC BLANCO OPACO/ALUMINIO X 10 TABLETAS C/U,INVIMA 2019M-0019229,20142221-1
C6590661,DOLIREN® TABLETAS RECUBIERTAS.,CAJA POR 100 TABLETAS EN 20 BLISTER DE ALU/ALU 5 TABLETAS RECUBIERTAS,INVIMA 2020M-0016217-R1,20087008-8
C9990312,NABILA® 2.5 MG COMPRIMIDOS,CAJA POR 28 COMPRIMIDOS EN BLISTER PVDC-PVC/ALUMINIO CON FILTRO UV,INVIMA 2020M-0010516-R1,20009036-5
C455345,FERRIMED PLUS® CAPSULAS,USO INSTITUCIONAL: CAJA X 60 CÁPSULAS EN BLÍSTER PVC TRANSPARENTE / FOIL ALUMINIO POR 10 CÁPSULAS EN SOBRE ALUMINIO / ALUMINIO.,INVIMA 2014M-0014912,20061025-20
C129000,T-P OFTENO,CAJA CON UN FRASCO GOTERO PEBD COLOR BLANCO A HUESOS TAPA PEAD ROJA E INSERTO DE PEBD POR 15 ML.,INVIMA 2021M-0016971-R1,20069775-1
C06877,MICROGYNON 30,CAJA CON UN BLISTER PVC TRANSPARENTE/ ALUMINIO POR 21 GRAGEAS,INVIMA 2021M-000145-R5,27076-1
C760150,FLUIMUCIL®,CAJA POR 5 AMPOLLAS DE VIDRIO ÁMBAR TIPO I POR 3 ML CADA UNA.,INVIMA 2015M-0002925-R1,19940454-1
C9990616,EGOGYN 1000 UI,CAJA POR 30 CAPSULAS BLANDAS DE GELATINA EN EMPAQUE INDIVIDUAL TIPO BLISTER PVC/ALUMINIO POR 10 CAPSULAS CADA UNO,INVIMA 2017M-0012400-R1,20024521-24
C425297,ISENTRESS® 400 MG,CAJA CON FRASCO DE POLIETILENO DE ALTA DENSIDAD CONTENIENDO 60 TABLETAS RECUBIERTAS OVALADAS COLOR ROSADO.,INVIMA 2022M-0007956-R1,19988423-1
C620208,ROCURONIO BROMURO 50 MG/5 ML,CAJA POR 10 FRASCOS AMPOLLA DE VIDRIO TIPO I CON 5 ML DE SOLUCION. TAPON GRIS EN FLUOROTEC Y AGRAFE DE ALUMINIO FLIP OFF VERDE.,INVIMA 2020M-0009808-R1,19995161-3
C665123,CETCAL® 60,1C1020221003100. CINACALCET 60 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (CETCAL) TABLETA 1 U / CAJA X 30. CAJA PLEGADIZA POR 30 TABLETAS RECUBIERTAS EN 3 BLÍSTER PVC ACLAR - ALUMINIO POR 10 TABLETAS RECUBIERTAS C/U.,INVIMA 2022M-0020653,20177063-2
C999051,OSTEOCAL SIEGFRIED® D,PRESENTACION INSTITUCIONAL: CAJA POR 70 TABLETAS RECUBIERTAS EN BLISTER PVC TRANSPARENTE / ALUMINIO POR 10 TABLETAS RECUBIERTAS CADA BLISTER,INVIMA 2023M-002872-R3,30970-6
C110833,SALOFALK® 1.5 G,CAJA POR 30 SACHETS EN PETP/ALU/LDPE CONTENIENDO 2.79 G DE GRANULADO CADA SACHET,INVIMA 2019M-0013788-R1,20039643-3
C062551,LYRICA ® 25 MG CAPSULAS,CAJA POR 30SIN DATOCAPSULAS EN BLISTER DE PVC- ALUMINIO.,INVIMA 2023M-0013443-R2,20028918-5
C275584,REVOLADE® TABLETAS 25 MG,CAJASIN DATOXSIN DATO28SIN DATOTABLETASSIN DATORECUBIERTAS EN BLISTER X 7SIN DATOTABLETAS BLISTER.,INVIMA 2022M-0011934-R2,20019167-2
C640415,METOCLOPRAMIDA 10MG /2ML,CAJA DE CARTÓN ETIQUETADA O IMPRESA POR 100 AMPOLLAS DE VIDRIO BOROSILICATO ÁMBAR TIPO I. ROTULADA. CONTENIENDO 2ML DE SOLUCIÓN INYECTABLE. DENTRO O NO DE UN BLISTERPACK DE PAPEL PVC O TERMOFORMADO TRANSPARENTE,INVIMA 2020M-0002205-R2,19931879-4
C04230,GLYXAMBI® 10 MG/ 5 MG,CAJA POR 30 TABLETAS RECUBIERTAS EN BLÍSTER ALU/PVC/PVDC TRANSPARENTE,INVIMA 2023M-0018505-R1,20126285-1
C375023,DAPTOMIX® 5% GEL,CAJA CON UN TUBO PLÁSTICO LAMINADO METALICOSIN DATOPOR 20 G. CON TAPA EN POLIPROPILENO BLANCA,INVIMA 2017M-0017593,20104600-1
C125192,COMPLEGEL NF TABLETAS RECUBIERTAS,CAJA X 30 TABLETAS,INVIMA 2012M-0013471,20039450-1
C670532,WINDUZA®100 MG/VIAL INYECTABLE,USO INSTITUCIONAL: CAJA POR UN VIAL DE VIDRIO TIPO I USP POR 30 ML,INVIMA 2016M-0017272,20102276-3
C024013,EPIPROT®,CAJA CON UN VIAL DE VIDRIO INCOLORO TIPO I. CON TAPÓN DE BROMOBUTILO DE COLOR GRIS DE 20 MM SILICONADO. CON AGRAFE DE ALUMINIO DE 75 UG DE LIOFILIZADO PARA RECONSTITUIR A 5 ML DE SOLUCIÓN INYECTABLE.,INVIMA 2017M-0012324-R1,20022626-1
C01669,CLORFENIRAMINA 4MG TABLETAS,CAJA XSIN DATO500SIN DATOTABLETAS ENSIN DATOBLISTERSIN DATOPVC/ALUMINIOSIN DATO X 10 TABLETASSIN DATOBLISTER,INVIMA 2021M-013218-R3,43493-6
C525180,BETADUO®,CAJA POR 1 JERINGA PRELLENADA ÁMBAR POR 1 ML CON AGUJA BD ECLIPSE (REGISTRO SANITARIO NO. INVIMA 2016DM-0014532),INVIMA 2021M-0004171-R2,19944461-17
C465310,TERBINAFINA CREMA AL 1%,CAJA PLEGADIZA CON TUBO DE ALUMINIO COLAPSIBLE PORSIN DATO20 G.SIN DATO,INVIMA 2017M-0005953-R1,19962798-2
C06198,LEVOMEPROMAZINA SOLUCION ORAL 4% GOTAS,CAJA CON UN FRASCO DE VIDRIO AMBAR TIPO III POR 20 ML. CON TAPA ROSCA DE POLIPROPILENO Y SUBTAPA GOTERO EN PEAD-PEBD NATURAL.,INVIMA 2007M-0007588,19977387-2
C120221,ABXEDA®,CAJA POR UN VIAL NOMINAL DE 5ML (VIDRIO TIPO I). LLENADO CON 4ML DE SOLUCIÓN. CON TAPÓN DE GOMA DE BUTILO.,INVIMA 2020MBT-0019816,20179635-1
C321908,IRINOTECAN 100 MG/5 ML SOLUCION CONCENTRADA PARA INFUSION,CAJA POR 1 VIAL DE ÁMBAR DE VIDRIO TIPO I. TAPÓN DE CLOROBUTILO. TAPA FLIP OFF CON 5 ML DE SOLUCIÓN PARA INFUSIÓN MÁS INSERTO CON RECUBRIMIENTO EN FOTOPOLÍMERO DE PROTECCIÓN ONCOSHIELD.,INVIMA 2017M-0006371-R1,19967207-3
C111220,MULTIFLORA MEGALABS®,CAJA X 14 SACHETS DE FOIL LAMINADO,INVIMA 2021M-0020174,20114360-1
C11520,CEFTRIAXONA 1G,1C1013941002101: CAJA PLEGADIZA CON UN VIAL DE VIDRIO TIPO I TRANSPARENTE E INCOLORO DE 10 ML. CON TAPÓN DE BUTILO COLOR GRIS. AGRAFE DE ALUMINIO Y TAPA FLIP-OFF DE POLIPROPILENO AZUL MATE.,INVIMA 2020M-0019759,20160174-1
C320011,INVEGA TRINZA™,PALIPERIDONA 200.0000 MG SUSPENSION INTRAMUSCULAR (INVEGA TRINZA) JERINGA 1.7500ML / CAJA X 1,INVIMA 2022M-0018005-R1,20112358-5
C465085,COSENTYX,CAJA X 1SIN DATO JERINGASIN DATOPRECARGADA DE SOLUCIÓN PARA INYECCIÓN DE SECUKINUMAB 150 MG/ 1 ML ENSAMBLADA EN DISPOSITIVO AUTOINYECTOR DELTA 02 DE FORMA TRIANGULAR CUBIERTO CON PELÍCULA Y CON VISOR TRANSPARENTE EN ÁREA DE LA SOLUCIÓN PARA INYECCIÓN.IUM 1S1042631000103,INVIMA 2023MBT-0016271-R1,20082591-3
C379338,GLUCOSAMINA SULFATO 1500 MG + CONDROITINA SULFATO 1200 MG,CAJA POR 15 SOBRES DE PAPEL POUCH DE POLIETILENO/ALUMINIO POR 4.7 G CADA UNO,INVIMA 2023M-0007241-R2,19972490-2
C253504,PULMONELL® 125 MG,CAJA PLEGADIZA POR 60 TABLETAS RECUBIERTAS EN BLÍSTER BLANCO PVC/PVDC ALUMINIO,INVIMA 2022M-0018015-R1,20122982-1
C249875,HISTIVERT ® 24MG,CAJA POR 30 TABLETAS: 3 BLISTERS DE ALUMINIO PVDC CRISTAL INCOLORO POR 10 TABLETAS,INVIMA 2014M-0015502,20068914-3
C034440,ACIX®,2A1003941003100. ACIDO CLAVULANICO 858.0000 MG/AMOXICILINA 12000.0000 MG POLVOS PARA RECONSTITUIR ORAL (ACIX) FRASCO 100.0000ML / CAJA X 1. CAJA CON UN FRASCO DE VIDRIO TIPO III ÁMBAR X 100 ML CON TAPA PLÁSTICA PUSH DOWN Y JERINGA DOSIFICADORA).,INVIMA 2020M-0019588,20151834-1
C290575,TAPAZOL® TABLETAS,CAJA POR 100 TABLETAS EN BLISTER PVC/PVDC/ALUMINIO,INVIMA 2019M-004189-R4,41255-1
C525301,LEVRONC® SUSPENSION,CAJA CON FRASCO PET ÁMBAR. TAPA EN POLIPROPILENO POR 120 ML.,INVIMA 2017M-0017759,20103866-2
C395083,PARALGEN MAX,USO INSTITUCIONAL: CAJA POR10 TABLETAS RECUBIERTAS EN BLISTER DE PVC-PVDC/ALUMINIO.,INVIMA 2019M-0014918-R1,20064726-21
C070619,ZINC-OLICOL® SOLUCION ORAL,CAJA CON UN FRASCO PET ÁMBAR POR 120ML. CON TAPA DE POLIPROPILENO BLANCA Y CUCHARA DOSIFICADORA.,INVIMA 2015M-0011287-R1,20011479-7
55081,BECLAZONE30 MG CÁPSULAS DE LIBERACIÓN CONTROLADA 12 HORAS,NIFEDIPINO PRESENTACION COMERCIAL - CAJA CON BLISTER PVDC ÁMBAR/ALUMINIO POR 10 CÁPSULAS. EN BLISTER POR 10 CÁPSULAS,INVIMA 2015M-0015659,20061399-25
C606190,ATORVASTATINA 40 MG TABLETAS RECUBIERTAS,CAJA PLEGADIZA POR 150 TABLETAS EN DIEZ BLÍSTER PVC/PVDC BLANCO/ALUMINIO POR 15 TABLETAS RECUBIERTAS CADA UNO.,INVIMA 2022M-0006092-R2,19962943-15
C160640,OPTICEL® 0.4% SOLUCIÓN OFTÁLMICA,UN (1) FRASCO GOTERO EN PEBD POR 15 ML CON TAPA BLANCA EN PP Y SUBTAPA TRANSPARENTE EN PEBD EN CAJA PLEGADIZA.,INVIMA 2023M-0020986,20229953-1
C341053,BETAHISTINA DICLORHIDRATO 8 MG TABLETAS RECUBIERTAS,CAJA DE CARTÓN CON FONDO BLANCO POR 20 TABLETAS EN BLISTER PVDC/ALUMINIO,INVIMA 2023M-0009471-R1,19998124-5
C3951805,ROSUVINA LEGRAND® E 10/40,CAJA POR 30 TABLETAS EN BLISTER AL/OPA/PVC-ALUMINIO,INVIMA 2023M-0013758-R2,20043340-18
C889749,LEVOTIROXINA 75 MCG,CAJA POR 30 TABLETAS EN BLISTER PVC/PE/PVDC/ALUMINIO POR 10 TABLETAS,INVIMA 2023M-0012602-R2,20027702-5
C608500,SUERO FISIOLOGICO SOLUCION ISOTONICA DE CLORURO DE SODIO,BOLSA DE PVC POR 100 ML.SIN DATOCON SOBREBOLSA DE POLIETILENO DE ALTA DENSIDAD.,INVIMA 2020M-03418-R4,38907-7
C9990699,METASPRAY® SUSPENSION PARA INHALACION NASAL,CAJA CON FRASCO PEAD BLANCO POR 18 ML CON VALVULA SPRAY NASAL BLANCA CON TAPA AZUL POR 180 APLICAIONES,INVIMA 2020M-0014173-R1,20055155-1
